film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
15,"ALIEN CENTER","A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention",2006,1,NULL,5,2.99,46,10.99,NC-17,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
22,"AMISTAD MIDSUMMER","A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California",2006,1,NULL,6,2.99,85,10.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
23,"ANACONDA CONFESSIONS","A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia",2006,1,NULL,3,0.99,92,9.99,R,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
39,"ARMAGEDDON LOST","A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft",2006,1,NULL,5,0.99,99,10.99,G,Trailers,"2006-02-15 05:03:42"
42,"ARTIST COLDBLOODED","A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California",2006,1,NULL,5,2.99,170,10.99,NC-17,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
51,"BALLOON HOMEWARD","A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station",2006,1,NULL,5,2.99,75,10.99,NC-17,"Deleted Scenes","2006-02-15 05:03:42"
79,"BLADE POLISH","A Thoughtful Character Study of a Frisbee And a Pastry Chef who must Fight a Dentist in The First Manned Space Station",2006,1,NULL,5,0.99,114,10.99,PG-13,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
116,"CANDIDATE PERDITION","A Brilliant Epistle of a Composer And a Database Administrator who must Vanquish a Mad Scientist in The First Manned Space Station",2006,1,NULL,4,2.99,70,10.99,R,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
128,"CATCH AMISTAD","A Boring Reflection of a Lumberjack And a Feminist who must Discover a Woman in Nigeria",2006,1,NULL,7,0.99,183,10.99,G,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
150,"CIDER DESIRE","A Stunning Character Study of a Composer And a Mad Cow who must Succumb a Cat in Soviet Georgia",2006,1,NULL,7,2.99,101,9.99,PG,"Behind the Scenes","2006-02-15 05:03:42"
167,"COMA HEAD","A Awe-Inspiring Drama of a Boy And a Frisbee who must Escape a Pastry Chef in California",2006,1,NULL,6,4.99,109,10.99,NC-17,Commentaries,"2006-02-15 05:03:42"
181,"CONTACT ANONYMOUS","A Insightful Display of a A Shark And a Monkey who must Face a Database Administrator in Ancient India",2006,1,NULL,7,2.99,166,10.99,PG-13,Commentaries,"2006-02-15 05:03:42"
182,"CONTROL ANTHEM","A Fateful Documentary of a Robot And a Student who must Battle a Cat in A Monastery",2006,1,NULL,7,4.99,185,9.99,G,Commentaries,"2006-02-15 05:03:42"
185,"COWBOY DOOM","A Astounding Drama of a Boy And a Lumberjack who must Fight a Butler in A Baloon",2006,1,NULL,3,2.99,146,10.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
203,"DAISY MENAGERIE","A Fast-Paced Saga of a Pastry Chef And a Monkey who must Sink a Composer in Ancient India",2006,1,NULL,5,4.99,84,9.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
221,"DELIVERANCE MULHOLLAND","A Astounding Saga of a Monkey And a Moose who must Conquer a Butler in A Shark Tank",2006,1,NULL,4,0.99,100,9.99,R,"Deleted Scenes","2006-02-15 05:03:42"
240,"DOLLS RAGE","A Thrilling Display of a Pioneer And a Frisbee who must Escape a Teacher in The Outback",2006,1,NULL,7,2.99,120,10.99,PG-13,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
260,"DUDE BLINDNESS","A Stunning Reflection of a Husband And a Lumberjack who must Face a Frisbee in An Abandoned Fun House",2006,1,NULL,3,4.99,132,9.99,G,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
272,"EDGE KISSING","A Beautiful Yarn of a Composer And a Mad Cow who must Redeem a Mad Scientist in A Jet Boat",2006,1,NULL,5,4.99,153,9.99,NC-17,"Deleted Scenes","2006-02-15 05:03:42"
281,"ENCINO ELF","A Astounding Drama of a Feminist And a Teacher who must Confront a Husband in A Baloon",2006,1,NULL,6,0.99,143,9.99,G,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
283,"ENDING CROWDS","A Unbelieveable Display of a Dentist And a Madman who must Vanquish a Squirrel in Berlin",2006,1,NULL,6,0.99,85,10.99,NC-17,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
291,"EVOLUTION ALTER","A Fanciful Character Study of a Feminist And a Madman who must Find a Explorer in A Baloon Factory",2006,1,NULL,5,0.99,174,10.99,PG-13,"Behind the Scenes","2006-02-15 05:03:42"
299,"FACTORY DRAGON","A Action-Packed Saga of a Teacher And a Frisbee who must Escape a Lumberjack in The Sahara Desert",2006,1,NULL,4,0.99,144,9.99,PG-13,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
307,"FELLOWSHIP AUTUMN","A Lacklusture Reflection of a Dentist And a Hunter who must Meet a Teacher in A Baloon",2006,1,NULL,6,4.99,77,9.99,NC-17,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
315,"FINDING ANACONDA","A Fateful Tale of a Database Administrator And a Girl who must Battle a Squirrel in New Orleans",2006,1,NULL,4,0.99,156,10.99,R,"Trailers,Commentaries","2006-02-15 05:03:42"
348,"GANDHI KWAI","A Thoughtful Display of a Mad Scientist And a Secret Agent who must Chase a Boat in Berlin",2006,1,NULL,7,0.99,86,9.99,PG-13,Trailers,"2006-02-15 05:03:42"
351,"GASLIGHT CRUSADE","A Amazing Epistle of a Boy And a Astronaut who must Redeem a Man in The Gulf of Mexico",2006,1,NULL,4,2.99,106,10.99,PG,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
356,"GIANT TROOPERS","A Fateful Display of a Feminist And a Monkey who must Vanquish a Monkey in The Canadian Rockies",2006,1,NULL,5,2.99,102,10.99,R,"Trailers,Commentaries","2006-02-15 05:03:42"
389,"GUNFIGHTER MUSSOLINI","A Touching Saga of a Robot And a Boy who must Kill a Man in Ancient Japan",2006,1,NULL,3,2.99,127,9.99,PG-13,"Trailers,Commentaries","2006-02-15 05:03:42"
401,"HAROLD FRENCH","A Stunning Saga of a Sumo Wrestler And a Student who must Outrace a Moose in The Sahara Desert",2006,1,NULL,6,0.99,168,10.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
