film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
7,"AIRPLANE SIERRA","A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat",2006,1,NULL,6,4.99,62,28.99,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
9,"ALABAMA DEVIL","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat",2006,1,NULL,3,2.99,114,21.99,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
18,"ALTER VICTORY","A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies",2006,1,NULL,6,0.99,57,27.99,PG-13,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
28,"ANTHEM LUKE","A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park",2006,1,NULL,5,4.99,91,16.99,PG-13,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
33,"APOLLO TEEN","A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft",2006,1,NULL,5,2.99,153,15.99,PG-13,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
35,"ARACHNOPHOBIA ROLLERCOASTER","A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station",2006,1,NULL,4,2.99,147,24.99,PG-13,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
36,"ARGONAUTS TOWN","A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft",2006,1,NULL,7,0.99,127,12.99,PG-13,"Trailers,Commentaries","2006-02-15 05:03:42"
44,"ATTACKS HATE","A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft",2006,1,NULL,5,4.99,113,21.99,PG-13,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
45,"ATTRACTION NEWTON","A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan",2006,1,NULL,5,4.99,83,14.99,PG-13,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
48,"BACKLASH UNDEFEATED","A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery",2006,1,NULL,3,4.99,118,24.99,PG-13,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
57,"BASIC EASY","A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat",2006,1,NULL,4,2.99,90,18.99,PG-13,"Deleted Scenes","2006-02-15 05:03:42"
64,"BEETHOVEN EXORCIST","A Epic Display of a Pioneer And a Student who must Challenge a Butler in The Gulf of Mexico",2006,1,NULL,6,0.99,151,26.99,PG-13,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
67,"BERETS AGENT","A Taut Saga of a Crocodile And a Boy who must Overcome a Technical Writer in Ancient China",2006,1,NULL,5,2.99,77,24.99,PG-13,"Deleted Scenes","2006-02-15 05:03:42"
