first_name,count_first_name
JENNIFER,1
BETTE,1
GRACE,1
JOE,1
ZERO,1
KARL,1
UMA,1
FRED,1
HELEN,1
BOB,1
ELVIS,1
ALEC,1
SISSY,1
TIM,1
JUDY,1
VAL,1
GOLDIE,1
JODIE,1
KIRK,1
PARKER,1
ANNE,1
NATALIE,1
CARMEN,1
JUDE,1
DUSTIN,1
HENRY,1
RAY,1
JESSICA,1
MICHELLE,1
ANGELINA,1
CARY,1
MAE,1
RALPH,1
JAMES,1
GREG,1
CHARLIZE,1
ELLEN,1
MEG,1
JIM,1
WALTER,1
SIDNEY,1
GINA,1
SYLVESTER,1
HARRISON,1
LIZA,1
SALMA,1
JULIANNE,1
JANE,1
RICHARD,1
RITA,1
EWAN,1
WHOOPI,1
JADA,1
RIVER,1
KIM,1
EMILY,1
GEOFFREY,1
IAN,1
LAURA,1
HARVEY,1
OPRAH,1
AL,1
LAURENCE,1
WILL,1
OLYMPIA,1
ALAN,1
WILLIAM,1
JON,1
LISA,1
JEFF,1
DEBBIE,1
ROCK,1
GREGORY,1
JOHN,1
BELA,1
THORA,1
