last_name,count_last_name
ASTAIRE,1
BACALL,1
BALE,1
BALL,1
BARRYMORE,1
BASINGER,1
BERGEN,1
BERGMAN,1
BIRCH,1
BLOOM,1
BRIDGES,1
BULLOCK,1
CARREY,1
CHAPLIN,1
CLOSE,1
COSTNER,1
CROWE,1
CRUISE,1
CRUZ,1
DAMON,1
DAY-LEWIS,1
DERN,1
DREYFUSS,1
DUNST,1
GABLE,1
GIBSON,1
GOLDBERG,1
GRANT,1
HAWKE,1
HESTON,1
HOPE,1
HUDSON,1
HUNT,1
HURT,1
JOLIE,1
JOVOVICH,1
LEIGH,1
LOLLOBRIGIDA,1
MALDEN,1
MANSFIELD,1
MARX,1
MCDORMAND,1
MIRANDA,1
NICHOLSON,1
PESCI,1
PFEIFFER,1
PHOENIX,1
PINKETT,1
PITT,1
POSEY,1
PRESLEY,1
REYNOLDS,1
RYDER,1
SINATRA,1
SOBIESKI,1
STALLONE,1
SUVARI,1
SWANK,1
TAUTOU,1
TOMEI,1
VOIGHT,1
WALKEN,1
WAYNE,1
WILSON,1
WITHERSPOON,1
WRAY,1
